hex_id,edge_id
8a1f8d98a6cffff,30482615#1
8a1f8d98a6effff,-30482615#4
8a1f8d98a6effff,30482615#1
8a1f8d98a747fff,-201963522#0
8a1f8d98a747fff,-201963522#1
8a1f8d98a747fff,-201963522#2
8a1f8d98a747fff,-201963522#3
8a1f8d98a747fff,-32395327#1
8a1f8d98a747fff,-32395352#1
8a1f8d98a747fff,-32395361#1
8a1f8d98a747fff,-37681424#0
8a1f8d98a747fff,201963522#0
8a1f8d98a747fff,201963522#1
8a1f8d98a747fff,201963522#2
8a1f8d98a747fff,201963522#3
8a1f8d98a747fff,32395327#0
8a1f8d98a747fff,32395352#0
8a1f8d98a747fff,32395361#0
8a1f8d98a74ffff,-31860333#2
8a1f8d98a74ffff,-31860333#3
8a1f8d98a74ffff,-31860333#4
8a1f8d98a74ffff,-32395414#0
8a1f8d98a74ffff,-32395464
8a1f8d98a74ffff,31860333#2
8a1f8d98a74ffff,31860333#3
8a1f8d98a74ffff,31860333#4
8a1f8d98a74ffff,32395414#0
8a1f8d98a74ffff,32395464
8a1f8d98a74ffff,37681424#0
8a1f8d98a757fff,-173177776#1
8a1f8d98a757fff,-32395361#1
8a1f8d98a757fff,173177776#0
8a1f8d98a757fff,32395361#0
8a1f8d98a75ffff,-173177776#1
8a1f8d98a75ffff,-201963522#3
8a1f8d98a75ffff,-201963522#4
8a1f8d98a75ffff,-201963522#5
8a1f8d98a75ffff,-37681424#0
8a1f8d98a75ffff,-37681425#6
8a1f8d98a75ffff,-37681425#7
8a1f8d98a75ffff,173177776#0
8a1f8d98a75ffff,201963522#3
8a1f8d98a75ffff,201963522#4
8a1f8d98a75ffff,201963522#5
8a1f8d98a75ffff,37681424#0
8a1f8d98a75ffff,37681425#5
8a1f8d98a75ffff,37681425#7
8a1f8d98a767fff,-170425366#6
8a1f8d98a767fff,-18809672#6
8a1f8d98a767fff,-18809672#7
8a1f8d98a767fff,-201963522#0
8a1f8d98a767fff,-28111977#0
8a1f8d98a767fff,-32395327#1
8a1f8d98a767fff,-393420106#1
8a1f8d98a767fff,170425366#0
8a1f8d98a767fff,18809672#6
8a1f8d98a767fff,18809672#7
8a1f8d98a767fff,201201935#0
8a1f8d98a767fff,201963522#0
8a1f8d98a767fff,28111977#0
8a1f8d98a767fff,32395327#0
8a1f8d98a76ffff,-28111977#0
8a1f8d98a76ffff,-28111977#1
8a1f8d98a76ffff,-31860333#1
8a1f8d98a76ffff,-37681424#0
8a1f8d98a76ffff,-37681424#1
8a1f8d98a76ffff,28111977#0
8a1f8d98a76ffff,28111977#1
8a1f8d98a76ffff,31860333#1
8a1f8d98a76ffff,31860333#2
8a1f8d98a76ffff,37681424#0
8a1f8d98a76ffff,37681424#1
8a1f8d98a777fff,-32395327#1
8a1f8d98a777fff,-32395352#1
8a1f8d98a777fff,32395327#0
8a1f8d98a777fff,32395352#0
8a1f8d98a78ffff,-18809673#6
8a1f8d98a78ffff,18809673#0
8a1f8d98aa07fff,224892361#2
8a1f8d98aa0ffff,-224892339#3
8a1f8d98aa0ffff,-224892361#2
8a1f8d98aa0ffff,-224892361#6
8a1f8d98aa0ffff,224892339#0
8a1f8d98aa0ffff,224892361#3
8a1f8d98aa17fff,-170018165#3
8a1f8d98aa17fff,170018165#2
8a1f8d98aa17fff,170018165#2.175
8a1f8d98aa1ffff,-224892361#6
8a1f8d98aa1ffff,224892361#3
8a1f8d98aa27fff,-224251774#1
8a1f8d98aa27fff,-286646456#0
8a1f8d98aa27fff,224251774#1
8a1f8d98aa27fff,286646456#0
8a1f8d98aa2ffff,-224892339#3
8a1f8d98aa2ffff,-224892361#1
8a1f8d98aa2ffff,-224892361#2
8a1f8d98aa2ffff,-286646456#2
8a1f8d98aa2ffff,224892339#0
8a1f8d98aa2ffff,224892361#1
8a1f8d98aa2ffff,224892361#2
8a1f8d98aa2ffff,286646456#1
8a1f8d98aa37fff,-224251774#0
8a1f8d98aa37fff,-224251774#1
8a1f8d98aa37fff,-224251776#1
8a1f8d98aa37fff,170018165#2.175
8a1f8d98aa37fff,224251774#0
8a1f8d98aa37fff,224251774#1
8a1f8d98aa37fff,224251776#0
8a1f8d98aa47fff,-28319300#2
8a1f8d98aa47fff,28319300#0
8a1f8d98aa57fff,-28319300#2
8a1f8d98aa57fff,28319300#0
